Course Code,Course Name,Cross-listed As,Units,Description,Term Typically Offered,Unformatted Pre-Requisite/Co-Requisite List
CSC 4186,Human-Computer Interaction,,3,"Introduction to fundamentals of Human-Computer Interaction. Discussion of human cognitive and affective factors and computer capabilities and constraints. Development of interactive systems. Emerging topics in social, affective, and ubiquitous computing. 2 lectures, 1 activity. Prerequisite: CSC 3100.","F, W, SP",CSC 3100
CSC 4191,Seminars in Software Engineering ,,1,"Discussions of technical, societal, and ethical aspects of modern software engineering theory and practice, concentrating on topics not covered in other courses. 1 seminar. Total credit limited to 4 units. Credit/No credit grading only. Prerequisite: CSC 3100.",...,CSC 3100
CSC 4192,Research Experience in Software Engineering ,,2-Jan,"Collaborative research activity under faculty supervision on a defined problem. Literature review, prototype development, analysis, documentation. Total credit limited to 4 units. 1 to 2 lectures. Prerequisite: CSC 3100 and PHIL 3323.",...,CSC 3100; and PHIL 3323
CSC 4193,Projects in Software Engineering ,,2-Jan,"Instructor-guided design and implementation of advanced projects in software engineering. Projects selected from real-world computing problems. Focus on implementation, testing, and analysis of team-based projects. Each offering will select a different project. Total credit limited to 4 units. 1 to 2 lectures. Prerequisite: CSC 3100 and PHIL 3323.",...,CSC 3100; and PHIL 3323
CSC 4210,Software Security ,,3,"Principles behind secure software design including threat models, trust management, common vulnerabilities and mitigation techniques, robust software development, isolation of untrusted code, auditability, and testing. 2 lectures, 1 activity. Prerequisite: CSC 3100; CPE/CSC 3201","F, W, SP",CSC 3201; and CSC 3100
CSC 4212 ,Malware Design and Analysis ,,3,"Introduction to the theory and practice of malware design and analysis with a focus on static and dynamic analysis of live samples. Topics include ethical consideration, environment preparation, static analysis, dynamic analysis, and payload engineering. 2 lectures, 1 activity. Prerequisite: CSC 3201; PHIL 3323",...,CSC 3201; and PHIL 3323
CSC 4214,Binary Exploitation: Tools and Techniques ,,3,"Introduction to the theory and practice of finding vulnerabilities in production systems with a focus on the evolution of vulnerabilities over time. Topics include buffer overflows, return-oriented-programming attacks, return to libc attacks, heap attacks, and common binary exploitation tools. 2 lectures, 1 activity. Prerequisite: CSC 3201; PHIL 3323.",W,CSC 3201; and PHIL 3324
CSC 4230,Web and Cloud Security ,,3,"Survey of topics in web and cloud security, including browser, cloud, and container vulnerabilities and their prevention; various web-related attacks and their defenses; case studies on real-world incidents; legal and ethical implications; and emerging web and cloud security threats. 2 lectures, 1 activity. Prerequisite: CSC 3201",...,CSC 3201
CSC 4310,Compiler Construction ,CPE 4310,3,"Design and construction of compilers. Concepts include syntactic analysis, semantics, code generation, and code transformations. Examine problems in processing languages. A complete compiler for a small language will be implemented. 2 lectures, 1 activity. Prerequisite: CSC 2050, CPE 2300","F, W, SP",CSC 2050; and CPE 2300
CSC 4448,Bioinformatics Algorithms ,,4,"Introduction to the use of computers to solve problems in molecular biology. The algorithms, languages, and databases important in determining and analyzing nucleic and protein sequences and their structure. 4 lectures. Prerequisite: CSC 3449.","F, W, SP",CSC 3449
CSC 4553,Introduction to Operating Systems ,CPE 4553 ,3,"Sequential and multiprogramming operating systems; system calls, scheduling, synchronization, files and storage systems, virtual memory management, and security. Course may be offered in classroom-based or online format. 2 lectures, 1 activity. Prerequisite: CSC/CPE 2050 and CPE 2300. Recommended: CSC 3001, CPE 3160.","F, W, SP","CSC/CPE 2050; and CPE 2300. Recommended: CSC 3001, CPE 3160."
CSC 4554,Implementation of Operating Systems,,4,"Design and implementation of multiprogramming kernels, systems programming methodology, interprocess communications, synchronization, and device drivers. 4 lectures. Prerequisite: CSC 4553","F, W, SP",CSC 4553
CSC 4665,Database Management Systems Organization ,,4,"Architecture of the internals of a modern Database Management System (DBMS). Physical data layout, query execution and optimization, transaction management, logging and recovery, data replication and scalability, and an introduction to distributed DBMSs. 3 lectures, 1 laboratory. Prerequisites: CSC 3665 or CSC 3660.","F, W, SP",CSC 3665 or CSC 3660
CSC 4667,Deep Learning ,,4,"Theory and practice of Deep Learning (DL) paradigms. Gradient Descent, Batch Normalization, Convolutional Neural Networks (NN), Recurrent NN, Dropout, Transformers, and new developments. Emphasis on using DL to solve a real-world application of significant scope. 3 lectures, 1 laboratory. Prerequisite: DATA 3301; MATH 1151 or MATH 2341. Recommended: CSC/DATA 4610 or CSC 4880","F, W, SP",DATA 3301;and MATH 1151 or MATH 2341. Recommended: CSC/DATA 4610 or CSC 4880
CSC 4710,Introduction to Computer Graphics,,3,"Graphics software development and use of application programming interfaces for 3D graphics. The graphics pipeline, modeling, geometric and viewing transforms, lighting and shading, rendering, interaction techniques and graphics hardware. 2 lectures, 1 laboratory. Prerequisite: CSC 2050","F, W, SP",CSC 2050
CSC 4730,Advanced Rendering Techniques,,3,"Computer graphics rendering algorithms. Ray tracing, geometry, tessellation, acceleration structures, sampling, filtering, shading models, and advanced topics such as global illumination and programmable graphics hardware. 2 lectures, 1 activity. Prerequisite: CSC/CPE 4710.","F, W, SP",CSC 4710
CSC 4740,Computer Animation,,3,"Basic and advanced algorithms for generating sequences of synthetic images. Interpolation in time and space, procedural and keyframe animation, particle systems, dynamics and inverse kinematics, morphing and video. 2 lectures, 1 laboratory. Prerequisite: CSC 4710","F, W, SP",CSC 4710
CSC 4760,Real-Time 3D Computer Graphics Software,,3,"Advanced algorithms for real-time, interactive, 3D graphics software. Modeling (polygon mesh, height field, scene graph), real-time rendering and shading (visibility processing, LOD, texture and light maps), collision detection (bounding volumes, complexity management), interactive controls, multi-player game technology, game engine architecture. 2 lectures, 1 laboratory. Prerequisite: CSC 4710.","F, W, SP",CSC 4710
CSC 4820,Natural Language Processing ,,4,"Introduction to natural language processing theory; speech processing; review of recent advancements. Topics include: tokenization, part-of-speech tagging, word-sense disambiguation, natural language understanding, natural language generation, data mining, voice processing, vocalization, semantic networks, intelligent assistants, computational linguistics, stylistics, language models. 3 lectures, 1 laboratory. Prerequisites: CSC 4880 or DATA 3301 or graduate standing and consent of instructor. Recommended: CSC 3449.","F, W, SP","CSC 4880, or DATA 3301, or graduate standing and consent of instructor. Recommended: CSC 3449"
CSC 4880,Artificial Intelligence,,4,"Programs and techniques that characterize artificial intelligence. Problem solving, knowledge, reasoning, planning, reasoning under uncertainty, machine learning, ethics. Programming in a high level language. 3 lectures, 1 laboratory. Prerequisite: CSC 2001.","F, W, SP",CSC 2001
CSC 4881,Semantic Computing ,,4,"Definition and reasoning with different types of logics and languages for describing knowledge and querying knowledgebases. Algorithms for creating semantic knowledge and creating word embeddings and topic extraction from natural text. 3 lectures, 1 laboratory. Prerequisite: CSC 4880.",...,CSC 4880
CSC 4888,Computer Vision,,4,Introduction to fundamentals of computer vision. Topics include image formation and geometric,...,CSC 3449; and PHIL 3323
,,,,"transformations, filtering, feature detection, pattern recognition, stereo vision, structure-frommotion, and convolutional neural networks. Ethical considerations. 3 lectures, 1 laboratory.",,
,,,,Prerequisites: CSC 3449 and PHIL 3323.,,
